dataset,n_features,accuracy,f1,roc_auc
Original,23,0.8122222222222222,0.46178343949044587,0.7571432338661371
PCA_5,5,0.7942222222222223,0.39198949441891007,0.7320492508770563
PCA_10,10,0.7995555555555556,0.3974615898463594,0.7349445381947399
LDA_1,1,0.7107777777777777,0.35038682305964564,0.6477412731668309
