model,accuracy,precision,recall,f1,roc_auc
perceptron,0.6777777777777778,0.35122749590834695,0.5389251632345555,0.42528735632183906,0.628072939728278
decision_tree,0.8164444444444444,0.6663395485770363,0.341034655951783,0.4511627906976744,0.7423983972963224
random_forest,0.8165555555555556,0.6528776978417267,0.36464088397790057,0.4679342571704802,0.7593177359180658
logistic_regression,0.8084444444444444,0.6983655274888558,0.2360622802611753,0.35285285285285284,0.7148630171196264
